Predictors,Estimate,SE,T_statistic,p,conf.low,conf.high
Intercept,1.241,0.451,2.748,0.006,0.422,2.214
Imperviousness,-0.181,0.14,-1.295,0.195,-0.459,0.096
Noise,0.031,0.147,0.212,0.832,-0.289,0.362
Population density,0.133,0.147,0.902,0.367,-0.132,0.452
Distance to city border,0.049,0.158,0.31,0.756,-0.269,0.374
Garden size,0.021,0.122,0.17,0.865,-0.277,0.344
Dogs: yes,0.648,0.408,1.588,0.112,-0.226,1.631
Cats on cams: yes,-0.764,0.415,-1.841,0.066,-1.704,0.04
Martens on cams: yes,0.612,0.266,2.301,0.021,0.086,1.156
Season: spring,-0.945,0.253,-3.729,0,-1.467,-0.419
Lockdown: yes,0.433,0.252,1.715,0.086,-0.078,0.941
