Name,Model,AIC,AIC_wt,BIC,BIC_wt,R2_Nagelkerke,RMSE,Sigma,Score_log,Score_spherical,AICc,AICc_wt
null_mod,negbin,1611.5270705069893,3.2048635254380875e-63,1620.0192840379525,2.226214564674808e-57,6.839927483024046e-16,7.8586193707009935,1,-2.958944196661891,0.041225619935541385,1611.5504623198547,NA
season_lock_mod,negbin,1589.8418546613814,1.6394354840434405e-58,1606.8262817233076,1.6307638371267432e-54,0.09915328081536014,7.724233156503857,1,-2.7059729145413063,0.034900439083928564,1589.9201325478784,NA
env_gard_pred_mod,negbin,1324.6339126977966,0.6366008389152192,1373.3153208565402,8.291859915277571e-4,0.12845484594893314,7.109309105893955,1,-2.610709330565988,0.038410126061393615,NA,NA
imp_gard_pred_mod,negbin,1585.827170556799,1.220314881252151e-57,1624.0421314461332,2.9786316802078528e-58,0.15082469695636685,7.61805701041978,1,-2.616240425879394,0.03426768026191234,NA,NA
env_dog_mod,negbin,1327.7202297926585,0.1360448057091793,1368.2880699249447,0.010240133670375861,0.09740230613730877,7.1929136660994955,1,-2.6554558372073993,0.03870126500676576,NA,NA
imp_dog_mod,negbin,1592.8256087913392,3.6879103378952845e-59,1622.5483561497101,6.286168072212095e-58,0.11042615489128368,7.7089698802092,1,-2.6743689867004408,0.034832100093474046,NA,NA
env_mod,negbin,1326.6931786886491,0.2273543553756015,1359.1474507944781,0.9889306803380963,0.08422020013719209,7.224040660879724,1,-2.753350680993702,0.03875993741080303,NA,NA
imp_mod,negbin,1589.6488367101226,1.805542212049145e-58,1610.8793705375303,2.1491860792443156e-55,0.1073679273244606,7.71064495813785,1,-2.706459683902649,0.03493637134646308,NA,NA
gard_pred_mod,negbin,1586.707662901137,7.857337791175419e-58,1620.6765170249894,1.6026942910525893e-57,0.14032228965718654,7.6075798708775055,1,-2.6400089257198918,0.03423964923098707,NA,NA
dog_mod,negbin,1593.2963632064184,2.9144548474736956e-59,1618.7730037993078,4.151388089733568e-57,0.10118682656727146,7.719590000859028,1,-2.6865185659424795,0.03480421881459486,NA,NA
catmarten_mod,negbin,1583.5355875910168,3.8378043058907436e-57,1609.0122281839062,5.466619289028747e-55,0.13730929755916202,7.625080825616046,1,-2.671017878358648,0.03425052420861361,1583.700617060565,NA
