variable,min_CI,mean_overlap,max_CI,group_lock,group_season,group_ani,group_plot
Lock_Spr_dog,0.2578369443204509,0.3596088750165143,0.46138080571257767,Lockdown,Spring,Dogs,2
Lock_Aut_dog,0.6209544012352953,0.7007340628529731,0.7805137244706509,Lockdown,Autumn,Dogs,5
NoLock_Spr_dog,0.3184704289852794,0.44892362338666436,0.5793768177880494,No Lockdown,Spring,Dogs,2
NoLock_aut_dog,0.5721874239206219,0.6548498305205652,0.7375122371205085,No Lockdown,Autumn,Dogs,5
Lock_Spr_cat,0.36475783397485567,0.4694039573115651,0.5740500806482746,Lockdown,Spring,Cats,3
Lock_Aut_cat,0.6822186746798578,0.7457924493552629,0.809366224030668,Lockdown,Autumn,Cats,6
NoLock_Spr_cat,0.2469304305817809,0.3728259223924777,0.4987214142031745,No Lockdown,Spring,Cats,3
NoLock_aut_cat,0.656619318549488,0.7279795805586273,0.7993398425677667,No Lockdown,Autumn,Cats,6
Lock_Spr_marten,0.4230248752536582,0.5190387234167007,0.6150525715797431,Lockdown,Spring,Martens,4
Lock_Aut_marten,0.7176925714877053,0.7715646672017992,0.8254367629158931,Lockdown,Autumn,Martens,7
NoLock_Spr_marten,0.3952762144054137,0.5220271363444813,0.6487780582835488,No Lockdown,Spring,Martens,4
NoLock_Aut_marten,0.6933797868887936,0.7542781388053283,0.815176490721863,No Lockdown,Autumn,Martens,7
